COURSE TITLE,R1 2019,R2 2019,2019 Interview,2019 R1 Random
Software and Electronic Engineering,301.0,351.0,0,0
Mechanical Engineering,336.0,389.0,0,0
Energy Engineering,281.0,328.0,0,0
Biomedical Engineering,331.0,383.0,0,0
Agricultural Engineering,301.0,365.0,0,0
Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),346.0,406.0,0,0
Applied Freshwater and Marine Biology,300.0,360.0,0,0
Applied Biology and Biopharmaceutical Science,317.0,376.0,0,0
Chemical and Pharmaceutical Science,307.0,346.0,0,0
Physics and Instrumentation,373.0,378.0,0,0
Science (Undenominated),327.0,377.0,0,0
Medical Science,451.0,486.0,0,0
Forensic Science and Analysis,300.0,366.0,0,0
Computing in Software Development,275.0,327.0,0,0
Computing and Digital Media,270.0,327.0,0,0
Agriculture and Environmental Management (Mountbellew Campus),297.0,339.0,0,0
Sport and Exercise Science,350.0,379.0,0,0
Public Health Nutrition,364.0,397.0,0,0
General Nursing - Mayo Campus,389.0,400.0,0,1
Psychiatric Nursing - Mayo Campus,346.0,370.0,0,0
Outdoor Education - Mayo Campus,210.0,298.0,0,0
