TU982,Media Production and Digital Arts,369,,n/a
TU983,Film and Broadcasting,462,,453,
TU984,Game Design,414,,n/a
TU985,Journalism,367,,n/a
TU989,Early Childhood Care and Education (campus options,270,,n/a
TU991,Applied Social Studies in Social Care,326,,n/a
TU992,Community Development and Youth Work,251,,n/a
TU995,Early Childhood Education,378,,n/a
TU996,Social Care,407,,n/a
TU997,Applied Social Care,320,,n/a
TR002,Music,508,,477,*
TR003,History,552,,543,*
TR004,Law,590,*,589,
TR005,Philosophy,510,,497,
TR006,Psychology,601,*,590,
TR007,Clinical Speech and Language Studies,564,*,n/a
TR009,Music Education,496,#,486,#
TR015,Philosophy  Political Science  Economics and Socio,613,*,613,*
TR016,Deaf Studies,389,,n/a
TR018,Law and French,602,*,602,
TR019,Law and German,577,,567,
TR021,Classics  Ancient History and Archaeology,467,,462,
TR022,Early and Modern Irish,377,,n/a
TR023,English Studies,546,,541,*
TR024,European Studies,566,,n/a
TR025,Drama and Theatre Studies,543,#,519,#
TR028,Ancient and Medieval History and Culture,498,,463,
TR031,Mathematics,579,,578,
TR032,Engineering,556,,555,
TR033,Computer Science,566,*,549,
TR034,Management Science and Information Systems Studies,625,*,625,*
TR035,Theoretical Physics,590,,589,*
TR038,Engineering with Management,589,*,589,*
TR039,Computer Science  Linguistics and a Language,443,,n/a
TR040,Middle Eastern and European Languages and Cultures,520,,499,
TR041,Religion,417,,n/a
TR042,Film,531,,522,
TR043,History of Art and Architecture,498,,486,
TR051,Medicine (HPAT required),743,# *,743,# *
TR052,Dental Science,625,*,625,*
TR053,Physiotherapy,590,*,n/a
TR054,Occupational Therapy,578,*,577,*
TR055,Radiation Therapy,577,,566,
TR056,Human Health and Disease,601,*,n/a
TR060,Biological and Biomedical Sciences,578,*,577,*
TR061,Chemical Sciences,558,,554,*
TR062,Geography and Geoscience,495,,n/a
TR063,Physical Sciences,554,,543,
TR064,Environmental Science and Engineering,555,,n/a
TR072,Pharmacy,613,*,613,*
TR080,Global Business,613,*,n/a
TR081,Business  Economic and Social Studies (BESS),577,,567,*
TR084,Social Studies (Social Work),497,,487,*
TR085,Business Studies and French,564,,n/a
TR086,Business Studies and German,530,,n/a
TR087,Business Studies and Russian,487,,n/a
TR089,Business Studies and Polish,391,,n/a
TR090,Business Studies and Spanish,566,,n/a
TR091,General Nursing (Meath and St James`s),462,,456,*
TR093,General Nursing (Adelaide School of Nursing),473,#,n/a
TR095,Mental Health Nursing,442,,n/a
TR097,Intellectual Disability Nursing,412,,410,
TR911,Children`s and General Nursing (Integrated),531,*,n/a
TR913,Midwifery,521,,n/a
DN100,Architecture,555,,n/a
DN120,Landscape Architecture,463,,435,
DN130,City Planning and Environmental Policy,445,,424,
DN150,Engineering (Common Entry),565,*,n/a
DN200,Science (options),577,,567,
DN201,Computer Science (Common Entry),554,,549,
DN230,Actuarial and Financial Studies,613,*,613,*
DN240,Sustainability,510,,n/a
DN250,Agricultural Science (options),454,,444,
DN261,Food Science,531,,n/a
DN262,Human Nutrition,566,,n/a
DN300,Veterinary Medicine - Undergraduate Entry,601,# *,n/a
DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,n/a,,n/a
DN310,Veterinary Nursing,521,,509,
DN400,Medicine - Undergraduate Entry (HPAT required),743,# *,n/a
DN401,Medicine - Graduate Entry (GAMSAT required),61,# *,n/a
DN410,Radiography,566,*,566,*
DN411,Radiography - Graduate Entry,n/a,,n/a
DN420,Physiotherapy,601,*,601,*
DN425,Health and Performance Science,544,,543,
DN430,Sport and Exercise Management,484,,476,
DN440,Biomedical  Health and Life Sciences,613,*,613,*
DN450,General Nursing,462,*,n/a
DN451,Children`s and General Nursing (Integrated),533,,n/a
DN452,Midwifery,510,,509,*
DN453,Mental Health Nursing,442,,n/a
DN520,Joint Honours (options),381,,378,
DN530,Humanities (options),397,,388,
DN541,Modern Languages (options),320,,n/a
DN600,Law (options),576,,567,*
DN610,Business and Law,573,,567,
DN650,Commerce,555,,n/a
DN660,Commerce International (options),555,,554,*
DN670,Economics and Finance,625,*,625,
DN700,Social Sciences (options),475,,474,
DN710,Economics,534,,532,*
DN720,Psychology,566,,564,
DN750,Social Policy and Sociology,421,,n/a
DK810,Accounting and Finance,307,,307,
DK816,Business Studies,301,,301,
DK820,Computing in Games Development,309,,309,
DK821,Computing in Software Development,320,,316,
DK822,Augmented and Virtual Reality,320,,320,
DK830,Building Surveying,305,,n/a
DK831,Architectural Technology,368,,314,
DK832,Construction Management,358,,305,
DK843,Engineering (Common Entry),404,,391,
DK844,Mechanical Engineering,336,,336,
DK845,Electrical and Electronic Engineering,331,,331,
DK846,Civil Engineering,371,,371,
DK850,International Tourism Management,303,,303,
DK861,Arts,302,,302,
DK862,Social Care,322,,319,
DK863,Creative Media,336,,320,
DK864,Film and Television Production,308,,n/a
DK865,Audio and Music Production,352,,n/a
DK870,General Nursing,440,*,440,*
DK872,Intellectual Disability Nursing,367,,366,
DK874,Mental Health Nursing,398,,n/a
DK876,Early Childhood Studies,300,,n/a
DK877,Midwifery,482,,477,
DK880,Health and Physical Activity,301,,n/a
DK882,Agriculture (Award options),342,,n/a
DK883,Science (Award options),373,,368,
DK884,Sustainable Agriculture,348,,n/a
DK885,Agri-Food Production,n/a,,n/a
DK886,Biopharmaceutical Science,379,,n/a
DK887,Environmental Science,377,,n/a
GA181,Accounting,303,,n/a
GA182,Business,285,,n/a
GA183,Business Information Systems,298,,n/a
GA184,Marketing and Sales,300,,n/a
GA185,Finance and Economics,318,,n/a
GA186,Business with Entrepreneurship,287,,n/a
GA187,Rural Enterprise and Agri-Business,291,,n/a
GA281,Film and Documentary,310,,301,
GA282,Heritage Studies,252,,n/a
GA283,Contemporary Art (portfolio),790,#,n/a
GA284,Design,331,,n/a
GA285,Education (Art  Design and Graphics),406,,n/a
GA380,International Hotel Management,218,,n/a
GA381,International Tourism Management,252,,n/a
GA382,Culinary and Gastronomic Science,235,,n/a
GA384,Event Management with Public Relations,230,,n/a
GA480,Construction Management,302,,n/a
GA482,Quantity Surveying and Construction Economics,304,,n/a
GA483,Architectural Technology,281,,273,
GA484,Civil Engineering,377,,n/a
GA580,Software and Electronic Engineering,300,,n/a
GA680,Mechanical Engineering,400,,n/a
GA681,Energy Engineering,312,,n/a
GA682,Biomedical Engineering,331,,n/a
GA683,Agricultural Engineering,304,,n/a
GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,413,,n/a
GA685,Manufacturing Engineering Design,336,,n/a
GA780,Applied Freshwater and Marine Biology,366,,n/a
GA781,Applied Biology and Biopharmaceutical Science,381,,n/a
GA782,Chemical and Pharmaceutical Science,356,,n/a
GA783,Physics and Instrumentation,301,,n/a
GA784,Science (Undenominated),445,,n/a
GA785,Medical Science,517,,510,
GA786,Forensic Science and Analysis,408,,n/a
GA787,Computing in Software Development,310,,n/a
GA788,Computing and Digital Media,270,,n/a
GA789,Agriculture and Environmental Management,340,,n/a
GA790,Sport and Exercise Science,376,,366,
GA791,Public Health Nutrition,368,,n/a
GA880,General Nursing,440,*,n/a
GA882,Psychiatric Nursing,369,,n/a
GA885,Outdoor Education,269,,n/a
GA887,History and Geography,201,,n/a
GA889,Applied Social Care,265,,n/a
GA890,Early Childhood Education and Care,281,,227,
GA891,Geography and Outdoor Education,261,,n/a
GA892,Community Development and Youth Work (Level 8),n/a,,n/a
GA980,Education (Design Graphics and Construction),410,,n/a
GA981,Furniture Design and Manufacture,346,,n/a
GA982,Furniture Making and Architectural Woodworking,360,,n/a
GA983,Furniture and Digital Manufacturing,n/a,,n/a
GA984,Furniture Design  Making and Technology - Common E,486,,467,
GY101,Arts (Joint-Honours),327,,326,
GY104,BSc (Psychology),564,,555,
GY105,Arts (History),357,,n/a
GY109,Arts (Mathematics and Education),413,,n/a
GY110,Arts (Children and Youth Studies - options),387,,n/a
GY111,Arts (English and Creative Writing),421,,420,
GY113,Arts with Human Rights,413,,n/a
GY115,Arts with Performing Arts Studies,300,,n/a
GY118,Arts (Drama  Theatre and Performance Studies),453,,430,
GY119,Arts (Journalism),484,,473,
GY122,Na Dána (Cumarsáid agus Gaeilge),410,,n/a
GY123,Applied Social Sciences,419,,n/a
GY125,Arts (Digital Arts and Technology),403,,n/a
GY127,Arts (Film and Digital Media),430,,421,
GY128,Arts (Global Languages),346,,n/a
GY129,Arts (Global Experience),465,,n/a
GY130,Arts (Music),462,,n/a
GY132,Government (Politics  Economics and Law),465,,451,
GY133,Education (Computer Science and Mathematical Studi,454,,n/a
GY134,Geography and Geosystems,425,,n/a
