COURSE TITLE,R1 2019,R2 2019,Course Level,2019 Interview,2019 R1 Random
Medicine - Undergraduate Entry (HPAT required),735.0,745.0,8,1,0
Medicine - Graduate Entry (GAMSAT required),59.0,61.0,8,1,1
Radiography,507.0,522.0,8,0,0
Radiography - Graduate Entry,,,8,1,0
Physiotherapy,542.0,555.0,8,0,0
Health and Performance Science,488.0,509.0,8,0,0
Sport and Exercise Management,436.0,455.0,8,0,0
"Biomedical, Health and Life Sciences",565.0,579.0,8,0,1
General Nursing,398.0,420.0,8,0,0
Children`s and General Nursing (Integrated),462.0,499.0,8,0,1
Midwifery,409.0,452.0,8,0,0
Mental Health Nursing,379.0,403.0,8,0,0
Arts (Two Subjects),336.0,408.0,8,0,0
Humanities (options),348.0,411.0,8,0,0
Modern Languages (options),348.0,412.0,8,0,0
Law (options),520.0,532.0,8,0,1
Business and Law,521.0,543.0,8,0,0
Commerce,498.0,510.0,8,0,1
Commerce International (options),507.0,531.0,8,0,0
Economics and Finance,601.0,601.0,8,0,0
Social Sciences (options),388.0,441.0,8,0,0
Economics,476.0,488.0,8,0,0
Psychology,517.0,531.0,8,0,0
Social Policy and Sociology,330.0,366.0,8,0,0
Accounting and Finance,306.0,391.0,8,0,0
Business Studies,300.0,357.0,8,0,0
Computing in Games Development,307.0,369.0,8,0,0
Computing in Software Development,301.0,347.0,8,0,0
Building Surveying,302.0,349.0,8,0,0
Architectural Technology,301.0,366.0,8,0,0
Construction Management,300.0,329.0,8,0,0
Engineering (Common Entry),303.0,402.0,8,0,0
Music,499.0,649.0,8,1,0
Arts,300.0,358.0,8,0,0
Social Care,300.0,338.0,8,0,0
Creative Media,300.0,376.0,8,0,0
Film and Television Production,300.0,332.0,8,0,0
Audio and Music Production,301.0,346.0,8,0,0
